nct_id,title,overall_status,study_type,completion_date,lead_sponsor,lead_sponsor_class,collaborator,collaborator_class,phase,locations,has_drug_intervention,drugs,disposition_date,results_date,enrollment,phase_normalised,is_completed,is_overdue,pubmed_results
NCT00000176,Alzheimer's Disease Prevention Trial,Completed,Interventional,2007-09-01,National Institute on Aging (NIA),NIH,,,3,United States,True,Estrogen; Estrogen and Progesterone; ,,,,3,True,True,False
NCT00000202,Buprenorphine Maintenance for Opioid Addicts - 1,Completed,Interventional,2006-05-01,Yale University,Other,National Institute on Drug Abuse (NIDA),NIH,2,United States,True,Buprenorphine; ,,,0.0,2,True,True,False
NCT00000203,Buprenorphine Maintenance for Opioid Addicts - 2,Completed,Interventional,2006-05-01,Yale University,Other,National Institute on Drug Abuse (NIDA),NIH,2,United States,True,Buprenorphine; ,,,0.0,2,True,True,False
NCT00000204,Buprenorphine Maintenance for Opioid Addicts - 3,Completed,Interventional,2006-05-01,Yale University,Other,National Institute on Drug Abuse (NIDA),NIH,2,United States,True,Buprenorphine; ,,,0.0,2,True,True,False
NCT00000299,Rapid Opiate Detoxification and Naltrexone Induction Using Buprenorphine - 2,Completed,Interventional,2009-11-01,"University of California, Los Angeles",Other,National Institute on Drug Abuse (NIDA),NIH,2,United States,True,Buprenorphine; ,,,12.0,2,True,True,False
NCT00000307,Naltrexone as Adjunct in Alcoholic Cocaine Dependent Patients - 4,Completed,Interventional,2007-04-01,National Institute on Drug Abuse (NIDA),NIH,University of Texas,Other,2,United States,True,Naltrexone; ,,,0.0,2,True,True,False
NCT00000374,Treatment for First-Episode Schizophrenia,Completed,Interventional,2007-05-01,Northwell Health,Other,National Institute of Mental Health (NIMH) The Zucker Hillside Hospital,NIH Other,4,United States,True,Olanzapine; Risperidone; ,,,125.0,4,True,False,True
NCT00000380,Growth Hormone Releasing Hormone (GHRH) Treatment for Age-Related Sleep Disturbances,Completed,Interventional,2007-07-01,University of Washington,Other,National Institute of Mental Health (NIMH),NIH,,,True,GHRH; ,,,,5,True,True,False
NCT00000400,Alendronate and/or Parathyroid Hormone for Osteoporosis,Completed,Interventional,2006-04-01,Massachusetts General Hospital,Other,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),NIH,2,United States,True,Human parathyroid hormone [hPTH-(1-34)]; alendronate; ,,,176.0,2,True,False,True
NCT00000405,Effects of Jumping on Growing Bones,Completed,Interventional,2008-06-01,Oregon State University,Other,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),NIH,2,United States,False,,,,200.0,2,True,True,False
